% Model:              HMD_med2_10MHz_100_output.mph
% Version:            COMSOL 4.4.0.195
% Date:               Jul 23 2014, 09:17
% Dimension:          3
% Nodes:              303
% Expressions:        1
% Description:        
% Length unit:        m
% x                       y                        z                        abs(emw.Hx) (A/m) @ freq=1e7
28.9913780286             28.9913780286            -7                       5.203941423976118E-6
29.6984848098             29.6984848098            -7                       4.574451457207835E-6
30.405591591              30.405591591             -7                       3.953691881904394E-6
31.1126983722             31.1126983722            -7                       3.394125942342732E-6
31.8198051534             31.8198051534            -7                       2.948405268304017E-6
32.5269119346             32.5269119346            -7                       2.551425327299319E-6
33.2340187158             33.2340187158            -7                       2.238384385213812E-6
33.941125497              33.941125497             -7                       1.9077784279245496E-6
34.6482322781             34.6482322781            -7                       1.677822530731334E-6
35.3553390593             35.3553390593            -7                       1.511466226617485E-6
36.0624458405             36.0624458405            -7                       1.2880936629302369E-6
36.7695526217             36.7695526217            -7                       1.176847647628906E-6
37.4766594029             37.4766594029            -7                       1.0401482725828938E-6
38.1837661841             38.1837661841            -7                       9.360265421474663E-7
38.8908729653             38.8908729653            -7                       8.595538684273921E-7
39.5979797464             39.5979797464            -7                       7.871863514418364E-7
40.3050865276             40.3050865276            -7                       7.307813640552404E-7
41.0121933088             41.0121933088            -7                       6.604672920497147E-7
41.71930009               41.71930009              -7                       6.21733624078543E-7
42.4264068712             42.4264068712            -7                       5.604967195048359E-7
43.1335136524             43.1335136524            -7                       5.11377425178532E-7
43.8406204336             43.8406204336            -7                       4.781704507436299E-7
44.5477272148             44.5477272148            -7                       4.3756153029703566E-7
45.2548339959             45.2548339959            -7                       3.826132411827658E-7
45.9619407771             45.9619407771            -7                       3.440405554618484E-7
46.6690475583             46.6690475583            -7                       3.0377807050681663E-7
47.3761543395             47.3761543395            -7                       2.640829454300666E-7
48.0832611207             48.0832611207            -7                       2.3165310478557377E-7
48.7903679019             48.7903679019            -7                       1.9458556627646314E-7
49.4974746831             49.4974746831            -7                       1.6036052176878002E-7
50.2045814642             50.2045814642            -7                       1.309873539225642E-7
50.9116882454             50.9116882454            -7                       9.931831716991748E-8
51.6187950266             51.6187950266            -7                       7.424057961274282E-8
52.3259018078             52.3259018078            -7                       5.410925862391248E-8
53.033008589              53.033008589             -7                       3.3394396372821216E-8
53.7401153702             53.7401153702            -7                       1.9712188649467662E-8
54.4472221514             54.4472221514            -7                       2.083553343050536E-8
55.1543289326             55.1543289326            -7                       3.1084873834027596E-8
55.8614357137             55.8614357137            -7                       4.239769308954096E-8
56.5685424949             56.5685424949            -7                       5.231593162300922E-8
57.2756492761             57.2756492761            -7                       6.138703766007289E-8
57.9827560573             57.9827560573            -7                       6.744254866046755E-8
58.6898628385             58.6898628385            -7                       7.448549943000774E-8
59.3969696197             59.3969696197            -7                       7.776148194170041E-8
60.1040764009             60.1040764009            -7                       7.998229134590628E-8
60.811183182              60.811183182             -7                       8.084015606194376E-8
61.5182899632             61.5182899632            -7                       8.3770015193014E-8
62.2253967444             62.2253967444            -7                       8.266546308712024E-8
62.9325035256             62.9325035256            -7                       8.173054455620272E-8
63.6396103068             63.6396103068            -7                       8.072221737933037E-8
64.346717088              64.346717088             -7                       7.685531079743775E-8
65.0538238692             65.0538238692            -7                       7.392022912272368E-8
65.7609306503             65.7609306503            -7                       7.249710179971394E-8
66.4680374315             66.4680374315            -7                       6.846897884835542E-8
67.1751442127             67.1751442127            -7                       6.891788519008727E-8
67.8822509939             67.8822509939            -7                       6.5108714335926E-8
68.5893577751             68.5893577751            -7                       6.476801913765441E-8
69.2964645563             69.2964645563            -7                       6.099530331763819E-8
70.0035713375             70.0035713375            -7                       5.88982690804944E-8
70.7106781187             70.7106781187            -7                       5.629017503330858E-8
